MLR_No,ML_Lic_No,Period,Name_Eng,Name_Chi,Expiry_Date,Remarks
3444,1830/2019,As at 29 February 2020,EBL Finance (HK) Limited,,06-Nov-20,
3273,1829/2019,As at 29 February 2020,Global Property Finance Limited,環球物業按揭有限公司,06-Dec-20,
3264,1828/2019,As at 29 February 2020,Johnny Development Limited,尊迪奧發展有限公司,25-Oct-20,
3243,1827/2019,As at 29 February 2020,Legal Finance Limited,利高財務有限公司,11-Oct-20,
3113,1826/2019,As at 29 February 2020,Tai Fung (Hong Kong) Finance Company Limited,大豐(香港)財務有限公司,10-Dec-20,
3101,1825/2019,As at 29 February 2020,Easy Reach (Far East) Limited,快成(遠東)有限公司,20-Oct-20,
3093,1824/2019,As at 29 February 2020,Simagi Finance Company Limited,,08-Oct-20,
2864,1823/2019,As at 29 February 2020,American Wilson Finance Limited,美國匯信財務有限公司,29-Sep-20,
2662,1822/2019,As at 29 February 2020,National Resources Properties Mortgage Limited,中潤物業按揭有限公司,15-Nov-20,
2580,1821/2019,As at 29 February 2020,Emperor Securities Limited,英皇證券(香港)有限公司,19-Nov-20,
2159,1820/2019,As at 29 February 2020,NH Investment & Securities (H.K.) Limited,農協投資證券(香港)有限公司,20-Nov-20,
1648,1819/2019,As at 29 February 2020,SPS Credit Limited,新寶城授信有限公司,22-Nov-20,
877,1818/2019,As at 29 February 2020,Yau Fung Finance Limited,友豐財務有限公司,06-Oct-20,
5624,1817/2019,As at 29 February 2020,Might Winner Limited,富潤有限公司,14-Jan-21,
5620,1815/2019,As at 29 February 2020,Ever One Credit Co Limited,永一信貸有限公司,14-Jan-21,
5618,1814/2019,As at 29 February 2020,Cornerstone Capital Management Company Limited,庫盈創富資本策劃管理有限公司,14-Jan-21,
5617,1813/2019,As at 29 February 2020,Vic-Origine (HK) Group Limited,聖源(香港)集團有限公司,14-Jan-21,
5615,1812/2019,As at 29 February 2020,Credit Dynasty Limited,信貸王朝有限公司,14-Jan-21,
5614,1811/2019,As at 29 February 2020,Wai Hang Investment Limited,瑋珩投資有限公司,14-Jan-21,
2925,1810/2019,As at 29 February 2020,A Finance Limited,泓大財務有限公司,14-Jan-21,
5250,1809/2019,As at 29 February 2020,Grand Partners Finance Limited,利盟財務有限公司,29-Nov-20,
5236,1808/2019,As at 29 February 2020,2 Money Limited,易盛錢有限公司,27-Nov-20,
5220,1807/2019,As at 29 February 2020,First Rich Finance Limited ,先達財務有限公司,18-Oct-20,
4888,1806/2019,As at 29 February 2020,Shiny Top Limited,瑞滔有限公司,12-Oct-20,
4870,1805/2019,As at 29 February 2020,Silverbricks Finance Company Limited,元庫財務有限公司,21-Sep-20,
4616,1804/2019,As at 29 February 2020,K B Leasing Limited,高比財務有限公司,03-Nov-20,
3955,1803/2019,As at 29 February 2020,"Pins Credit Management Co., Limited",平盛信貸管理有限公司,18-Dec-20,
3660,1802/2019,As at 29 February 2020,Adco Fa Limited,啟豪融資有限公司,03-Dec-20,
2608,1801/2019,As at 29 February 2020,Hing Lung Finance Limited,興隆財務有限公司,01-Nov-20,
850,1800/2019,As at 29 February 2020,Tonwell Investment Company (Hong Kong) Limited,香港東華企業有限公司,22-Oct-20,
472,1799/2019,As at 29 February 2020,Kam Loong Loan Co.,金龍貸欵公司,06-Oct-20,
384,1798/2019,As at 29 February 2020,Nan Fung Finance Limited,南豐財務有限公司,01-Dec-20,
361,1797/2019,As at 29 February 2020,The Kwong Sang Hong Finance Company Limited,廣生行財務有限公司,06-Nov-20,
135,1796/2019,As at 29 February 2020,Hong Kong Mortgage & Loan Corporation Limited,香港貸款財務有限公司,05-Nov-20,
5254,1795/2019,As at 29 February 2020,Yes Credit Limited,泰樂信貸有限公司,04-Dec-20,
3260,1794/2019,As at 29 February 2020,QL Credit Gain Finance Company Limited,乾隆領達財務有限公司,01-Nov-20,
5238,1793/2019,As at 29 February 2020,Far East Credit Limited,遠東信貸有限公司,13-Nov-20,
5217,1792/2019,As at 29 February 2020,Easy Reliance Credit Limited,易信財務有限公司,18-Oct-20,
5213,1791/2019,As at 29 February 2020,Marren Limited ,馬林有限公司,11-Oct-20,
5208,1790/2019,As at 29 February 2020,Chinese Legends Wealth Management Limited,利中創金融有限公司,11-Oct-20,
5202,1789/2019,As at 29 February 2020,New Ways Finance Limited,新都財務有限公司,11-Oct-20,
4923,1788/2019,As at 29 February 2020,Tongfang Finance Limited,同方財務有限公司,28-Nov-20,
4857,1787/2019,As at 29 February 2020,663 Limited,,14-Sep-20,
4846,1786/2019,As at 29 February 2020,Kudos Holdings Limited,永亨控股有限公司,28-Nov-20,
4606,1785/2019,As at 29 February 2020,Elion Financial Factoring Limited,億利金融保理有限公司,13-Oct-20,
4599,1784/2019,As at 29 February 2020,Right Capital Limited,錦佑資本有限公司,13-Oct-20,
4423,1783/2019,As at 29 February 2020,Rong Xin Finance Limited,融信財務有限公司,29-Sep-20,
4293,1782/2019,As at 29 February 2020,Have Result Finance Limited,有成財務有限公司,19-Nov-20,
4237,1781/2019,As at 29 February 2020,Profit Management Limited,保利管理有限公司,13-Oct-20,
4226,1780/2019,As at 29 February 2020,Poly Auction (Hong Kong) Limited,保利香港拍賣有限公司,08-Oct-20,
4219,1779/2019,As at 29 February 2020,TPB Investment Company Limited,騰益投資有限公司,06-Oct-20,
4217,1778/2019,As at 29 February 2020,Surewin Credit Limited,瑞和物業按揭有限公司,22-Sep-20,
4051,1777/2019,As at 29 February 2020,Fulixin Credit Limited,富力鑫信貸有限公司,29-Nov-20,
3630,1776/2019,As at 29 February 2020,Ever Credit Limited,永恒信貸有限公司,15-Oct-20,
3420,1775/2019,As at 29 February 2020,Universal (Asia) Credit Limited,環聯(亞洲)信貸有限公司,25-Sep-20,
1363,1774/2019,As at 29 February 2020,Mallia Limited,,22-Sep-20,
895,1773/2019,As at 29 February 2020,"The Great Eagle Finance Company, Limited",鷹君財務有限公司,22-Oct-20,
2667,1772/2019,As at 29 February 2020,Grand Ocean Credit Limited,保得財務有限公司,23-Oct-20,
5269,1771/2019,As at 29 February 2020,Join-Tie Finance Company Limited ,尊泰金融有限公司,03-Jan-21,
5231,1770/2019,As at 29 February 2020,Sea Profit Credit Limited,海富信貸有限公司,06-Nov-20,
5193,1769/2019,As at 29 February 2020,Profit Rich Credit Limited,富利達信貸有限公司,04-Oct-20,
4930,1768/2019,As at 29 February 2020,Easy Golden Finance Limited,衍卓財務有限公司,30-Nov-20,
4648,1767/2019,As at 29 February 2020,Carlton Finance Limited,瑞生信貸有限公司,15-Dec-20,
4622,1766/2019,As at 29 February 2020,Metropolitan Capital Company Limited,大都會融創有限公司,08-Nov-20,
4311,1765/2019,As at 29 February 2020,Rainbow International (HK) Holdings Limited,彩虹國際(香港)控股有限公司,08-Dec-20,
4283,1764/2019,As at 29 February 2020,Wah Chu Finance Limited,華鑄信貸有限公司,17-Nov-20,
4250,1763/2019,As at 29 February 2020,Dream City Credit Limited,望京信貸有限公司,15-Oct-20,
3952,1762/2019,As at 29 February 2020,Wings Financial Capital Limited,永時金融資本有限公司,18-Dec-20,
3891,1761/2019,As at 29 February 2020,South-China Universal Finance Limited,華南國際財務有限公司,16-Oct-20,
3875,1760/2019,As at 29 February 2020,Forever Biosource (Credit) Limited,恒生源(信貸)有限公司,25-Sep-20,
3652,1759/2019,As at 29 February 2020,Ando Credit Limited,安道信貸有限公司,07-Oct-20,
3627,1758/2019,As at 29 February 2020,Mortgage One Services Limited,晉利樓按專門店有限公司,15-Oct-20,
3619,1757/2019,As at 29 February 2020,Phoenician Limited,富理基有限公司,08-Oct-20,
3612,1756/2019,As at 29 February 2020,Prosperous Finance Limited,盛世財務有限公司,24-Sep-20,
2914,1755/2019,As at 29 February 2020,Fast Billion Holdings Limited,迅億集團有限公司,29-Aug-20,
2704,1754/2019,As at 29 February 2020,Culture Finance Limited,文化財務有限公司,26-Sep-20,
2417,1753/2019,As at 29 February 2020,Lai Fung Finance Company Limited,麗豐財務有限公司,09-Sep-20,
1819,1752/2019,As at 29 February 2020,Wahsheung Finance Limited,華商財務有限公司,05-Oct-20,
1107,1751/2019,As at 29 February 2020,New World Finance Company Limited,新世界金融有限公司,22-Nov-20,
990,1750/2019,As at 29 February 2020,Malahon Credit Company Limited,萬利豐金融有限公司,21-Sep-20,
659,1749/2019,As at 29 February 2020,Yeung Chi Shing Finance Company Limited,楊志誠財務有限公司,15-Sep-20,
5612,1748/2019,As at 29 February 2020,Ali Finance Limited,阿里財務有限公司,02-Jan-21,
5611,1747/2019,As at 29 February 2020,Rich Star Finance Limited,富星財務有限公司,02-Jan-21,
5181,1746/2019,As at 29 February 2020,Glory Credit Limited,光榮信貸有限公司,11-Sep-20,
4927,1745/2019,As at 29 February 2020,Winfull Finance Limited,宏豐財務有限公司,28-Nov-20,
4926,1744/2019,As at 29 February 2020,Jin Li Da Limited ,金力達有限公司,28-Nov-20,
4859,1743/2019,As at 29 February 2020,Healthy Finance Limited,安康財務有限公司,19-Sep-20,
4563,1742/2019,As at 29 February 2020,Sky World (Asia) Limited,天際(亞洲)有限公司,20-Sep-20,
4187,1741/2019,As at 29 February 2020,Active Doors Finance Limited,活門信貸有限公司,18-Sep-20,
3909,1740/2019,As at 29 February 2020,Capital One Asia Limited,第一信貸有限公司,18-Nov-20,
3894,1739/2019,As at 29 February 2020,Nishikawa Finance Limited,西川信貸有限公司,21-Oct-20,
3862,1738/2019,As at 29 February 2020,Auto Italia (Finance) Limited,,14-Oct-20,
3780,1737/2019,As at 29 February 2020,Gold Credit Financial Limited,銀通信用財務有限公司,30-Sep-20,
3663,1736/2019,As at 29 February 2020,Promising Finance Limited,邦利財務有限公司,26-Nov-20,
3448,1735/2019,As at 29 February 2020,Enriched Goldenroad (H.K.) Credit Limited,誠通路路(香港)信貸有限公司,22-Nov-20,
3110,1734/2019,As at 29 February 2020,Fameway Finance Limited,德榮財務有限公司,10-Nov-20,
2656,1733/2019,As at 29 February 2020,Fine Art Holding Limited,恒樂集團有限公司,30-Oct-20,
2517,1732/2019,As at 29 February 2020,Niaga Finance Company Limited,利安達財務有限公司,19-Oct-20,
2266,1731/2019,As at 29 February 2020,Gold Future Finance Company Limited,匯鑫財務有限公司,04-Dec-20,
2179,1730/2019,As at 29 February 2020,KGI Finance Limited,,12-Oct-20,
2035,1729/2019,As at 29 February 2020,Union Finance International (HK) Limited,聯邦財務有限公司,10-Oct-20,
2032,1728/2019,As at 29 February 2020,Goldvole Finance Limited,金宏利財務有限公司,04-Dec-20,
1790,1727/2019,As at 29 February 2020,King Wong Finance Limited,建旺財務有限公司,17-Oct-20,
1601,1726/2019,As at 29 February 2020,Hong Kong & China Transportation Consultants Limited,中港運輸顧問有限公司,13-Sep-20,
1443,1725/2019,As at 29 February 2020,China Central Finance Limited,中國中心財務有限公司,25-Nov-20,
5619,1724/2019,As at 29 February 2020,Premium Credit Limited,南豐信貸有限公司,14-Jan-21,
5608,1723/2019,As at 29 February 2020,Lender Finance Limited,安達信貸有限公司,31-Dec-20,
5441,1722/2019,As at 29 February 2020,F Plus Limited,,31-Dec-20,
5218,1721/2019,As at 29 February 2020,Delta Capital Finance Limited,德滙興業財務有限公司,01-Nov-20,
5211,1720/2019,As at 29 February 2020,Dupont Finance Limited,杜邦財務有限公司,11-Oct-20,
5190,1719/2019,As at 29 February 2020,King's Finance Limited,景福財務有限公司,02-Oct-20,
4918,1718/2019,As at 29 February 2020,Treasure Capital Finance Limited,寶盈資本財務有限公司,16-Nov-20,
4906,1717/2019,As at 29 February 2020,Bright Future Financing Limited ,永明財務有限公司,07-Nov-20,
4902,1716/2019,As at 29 February 2020,EC Credit Finance Limited,一線信貸財務有限公司,02-Nov-20,
4564,1715/2019,As at 29 February 2020,Ottoman Evershine Finance Limited,奧斯曼財務有限公司,15-Dec-20,
3911,1714/2019,As at 29 February 2020,Hong Kong CT Finance Limited,香港現金轉信貸有限公司,18-Nov-20,
3860,1713/2019,As at 29 February 2020,Chun Nam Holdings Limited,鎮南集團有限公司,16-Sep-20,
3601,1712/2019,As at 29 February 2020,Hang Fu Mortgage Finance Limited,恒富按揭財務有限公司,10-Sep-20,
2766,1711/2019,As at 29 February 2020,Convoy Collateral Limited,康宏財務有限公司,13-Nov-20,
2416,1710/2019,As at 29 February 2020,Lei Shing Hong Credit Limited,利星行信貸有限公司,22-Sep-20,
1476,1709/2019,As at 29 February 2020,Ever-Long Finance Limited,長雄財務有限公司,21-Oct-20,
1237,1708/2019,As at 29 February 2020,SHK Finance Limited,新鴻基財務有限公司,27-Nov-20,
843,1707/2019,As at 29 February 2020,General Credit Finance and Development Limited,信用財務發展有限公司,06-Nov-20,
3922,1706/2019,As at 29 February 2020,Safe Gold Finance Limited,鼎展財務有限公司,25-Nov-20,
5616,1705/2019,As at 29 February 2020,Top Money Finance Limited,星級財務有限公司,24-Dec-20,
5613,1704/2019,As at 29 February 2020,Zhong Jia Investment Consultants Limited,中加投資顧問有限公司,24-Dec-20,
5609,1703/2019,As at 29 February 2020,Billion Rich Finance Limited,兆豐財務有限公司,24-Dec-20,
5607,1702/2019,As at 29 February 2020,Pawnhub Limited,,24-Dec-20,
5606,1701/2019,As at 29 February 2020,Got Money Consultant Limited,,24-Dec-20,
5598,1700/2019,As at 29 February 2020,Obey Pacific Company Limited,敖栢國際有限公司,24-Dec-20,
4579,1699/2019,As at 29 February 2020,Sincere Mortgage Company Limited,摯易按揭有限公司,24-Dec-20,
1593,1698/2019,As at 29 February 2020,Allied Treasure Investment Limited,齊潤投資有限公司,24-Dec-20,
5183,1697/2019,As at 29 February 2020,Billion Business Referrals Company Limited,,11-Sep-20,
4851,1696/2019,As at 29 February 2020,Economic Capital Company Limited,經濟資本有限公司,07-Sep-20,
4617,1695/2019,As at 29 February 2020,Net Media Finance Hong Kong Limited,網信傳媒財務香港有限公司,03-Nov-20,
4598,1694/2019,As at 29 February 2020,Everfaith Capital Group Limited,恒信資本集團有限公司,06-Oct-20,
4583,1693/2019,As at 29 February 2020,Major Harvest Credit Service Limited,鴻溙財務有限公司,22-Sep-20,
4544,1692/2019,As at 29 February 2020,Joy Happiness Limited,穎威有限公司,15-Sep-20,
4278,1691/2019,As at 29 February 2020,Sprint Asset Management Limited,新銳資產管理有限公司,12-Nov-20,
3622,1690/2019,As at 29 February 2020,Rainbow Mortgage Services Limited,彩虹按揭服務有限公司,08-Oct-20,
3253,1689/2019,As at 29 February 2020,Keen Hill Development Limited,勤山發展有限公司,04-Oct-20,
3236,1688/2019,As at 29 February 2020,Wealth Asia Credits Limited,國富物業信貸有限公司,08-Sep-20,
3092,1687/2019,As at 29 February 2020,Vision Credit Limited,維信理財有限公司,06-Oct-20,
2767,1686/2019,As at 29 February 2020,Glory Wise Finance Company Limited,佳智財務有限公司,02-Dec-20,
2415,1685/2019,As at 29 February 2020,Venture Union Investment Limited,宏裕聯合投資有限公司,29-Sep-20,
1820,1684/2019,As at 29 February 2020,Golden Dragon Finance Company Limited,金龍財務有限公司,04-Oct-20,
1596,1683/2019,As at 29 February 2020,Wise Pacific Investment Limited,冠暉投資有限公司,13-Sep-20,
1132,1682/2019,As at 29 February 2020,Shun Tak Finance Limited,信德財務有限公司,11-Sep-20,
2537,1681/2019,As at 29 February 2020,Telstar Finance Company Limited,迅達財務有限公司,01-Dec-20,
5595,1680/2019,As at 29 February 2020,China Southern Limited,南中有限公司,24-Dec-20,
5243,1679/2019,As at 29 February 2020,Tat Sing Finance Limited,達誠信貸有限公司,15-Nov-20,
5219,1678/2019,As at 29 February 2020,EasyPhone Finance Limited ,頤豐財務有限公司,18-Oct-20,
5206,1677/2019,As at 29 February 2020,International Star Finance Limited,星際財務有限公司,11-Oct-20,
